danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.745,0.448,1,-20.505,1,0.0726,0.0081,0.871,0.0439,0.624,151.017,audio_features,0LXxEKF7GjUbGYCeBOPxba,spotify:track:0LXxEKF7GjUbGYCeBOPxba,https://api.spotify.com/v1/tracks/0LXxEKF7GjUbGYCeBOPxba,https://api.spotify.com/v1/audio-analysis/0LXxEKF7GjUbGYCeBOPxba,78762,4
0.797,0.657,11,-7.702,1,0.132,0.0632,0.705,0.092,0.506,118.011,audio_features,5z7XGCJlzhFP0UR1agce9b,spotify:track:5z7XGCJlzhFP0UR1agce9b,https://api.spotify.com/v1/tracks/5z7XGCJlzhFP0UR1agce9b,https://api.spotify.com/v1/audio-analysis/5z7XGCJlzhFP0UR1agce9b,95347,4
0.622,0.773,10,-5.68,0,0.0324,0.0366,0.00023,0.115,0.133,105.968,audio_features,5pUl86WPdIEncWK57kGcOY,spotify:track:5pUl86WPdIEncWK57kGcOY,https://api.spotify.com/v1/tracks/5pUl86WPdIEncWK57kGcOY,https://api.spotify.com/v1/audio-analysis/5pUl86WPdIEncWK57kGcOY,152053,4
0.522,0.737,0,-7.162,1,0.0631,0.0515,7.64e-05,0.647,0.395,96.943,audio_features,1NoSFJ2Y8t1ioRqmePeg07,spotify:track:1NoSFJ2Y8t1ioRqmePeg07,https://api.spotify.com/v1/tracks/1NoSFJ2Y8t1ioRqmePeg07,https://api.spotify.com/v1/audio-analysis/1NoSFJ2Y8t1ioRqmePeg07,206598,4
0.202,0.437,5,-12.973,1,0.0867,0.761,4.46e-05,0.144,0.307,57.063,audio_features,1nHBcM8ybbbhVvqjh8V6zR,spotify:track:1nHBcM8ybbbhVvqjh8V6zR,https://api.spotify.com/v1/tracks/1nHBcM8ybbbhVvqjh8V6zR,https://api.spotify.com/v1/audio-analysis/1nHBcM8ybbbhVvqjh8V6zR,151125,3
0.695,0.697,9,-9.609,1,0.0419,0.602,0.85,0.11,0.963,140.027,audio_features,1LtctBA2TfyDkTV2bke6EZ,spotify:track:1LtctBA2TfyDkTV2bke6EZ,https://api.spotify.com/v1/tracks/1LtctBA2TfyDkTV2bke6EZ,https://api.spotify.com/v1/audio-analysis/1LtctBA2TfyDkTV2bke6EZ,144989,4
0.574,0.739,11,-7.032,1,0.0824,0.357,0.516,0.14,0.505,174.003,audio_features,0w11i5RNebNCttwoM3qs0X,spotify:track:0w11i5RNebNCttwoM3qs0X,https://api.spotify.com/v1/tracks/0w11i5RNebNCttwoM3qs0X,https://api.spotify.com/v1/audio-analysis/0w11i5RNebNCttwoM3qs0X,148216,4
0.668,0.389,10,-7.28,1,0.0403,0.342,0.0,0.114,0.458,94.991,audio_features,22MqBhjCzF6Lwgh6v35COU,spotify:track:22MqBhjCzF6Lwgh6v35COU,https://api.spotify.com/v1/tracks/22MqBhjCzF6Lwgh6v35COU,https://api.spotify.com/v1/audio-analysis/22MqBhjCzF6Lwgh6v35COU,162306,4
0.636,0.637,8,-4.593,1,0.0555,0.0192,0.0264,0.0972,0.497,140.0,audio_features,6avei3GTDwm3u8jobPwGh5,spotify:track:6avei3GTDwm3u8jobPwGh5,https://api.spotify.com/v1/tracks/6avei3GTDwm3u8jobPwGh5,https://api.spotify.com/v1/audio-analysis/6avei3GTDwm3u8jobPwGh5,281143,4
0.603,0.683,11,-6.073,0,0.0719,0.263,0.00669,0.125,0.64,192.129,audio_features,0rxQTgJzd0HCUk4QUxSkjK,spotify:track:0rxQTgJzd0HCUk4QUxSkjK,https://api.spotify.com/v1/tracks/0rxQTgJzd0HCUk4QUxSkjK,https://api.spotify.com/v1/audio-analysis/0rxQTgJzd0HCUk4QUxSkjK,250920,4
