name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_artists,genres
838 ride for you,0.6805,0.713,6.0,-7.1495,0.5,0.0556,0.0616,0.10865000000000001,0.11649999999999999,0.502,125.62899999999999,"['25uiPmTg16RbhZWAqwLBy5', '4TZieE5978SbTInJswaay2', '1oPRcJUkloHaRLYx0olBLJ', '53KwLdlmrlCelAZMaLVZqU', '5Q81rlcTFh3k6DQJXPdsot', '5APEQlUaQ5K70LgPqAdTuU', '2eMb96S1ZJ1YQ7FhWAzWJL', '4oLeXFyACqeem2VImYeBFe', '2RqrWplViWHSGLzlhmDcbt', '4Ge8xMJNwt6EEXOzVXju9a']","['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop', 'experimental indie', 'la pop', 'art pop', 'indie soul', 'indietronica', 'uk alternative pop', 'channel islands indie', 'electropop', 'escape room', 'hyperpop', 'indie soul', 'vapor soul', 'chill dream pop', 'modern dream pop', 'dark synthpop', 'edm', 'house', 'stutter house', 'alternative r&b', 'art pop', 'escape room', 'experimental house', 'art pop', 'escape room', 'indie pop', 'indietronica']"
837 no pretending,0.598,0.4255,4.5,-12.2235,0.5,0.04475,0.7150000000000001,0.13,0.108,0.4345,101.11850000000001,"['3l0CmX0FuQjFxr8SK7Vqag', '3ETLPQkcEd7z4k3IbZmXMq', '47zz7sob9NUcODy0BTDvKx', '2i1IdHG5w0wiSmJGoqAGlj', '6LEeAFiJF8OuPx747e1wxR', '3zmfs9cQwzJl575W1ZYXeT', '16GcWuvvybAoaHr0NqT8Eh', '6Q192DXotxtaysaqNPy5yR', '0YCL71Clky5els6NireSBP', '163tK9Wjr9P9DmM0AVK7lm']","['bedroom pop', 'indie pop', 'pov: indie', 'alternative r&b', 'uk contemporary r&b', 'uk funky', 'british soul', 'sophisti-pop', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'alternative r&b', 'art pop', 'escape room', 'indie soul', 'indietronica', 'metropopolis', 'indie pop', 'pov: indie', 'alabama indie', 'modern blues rock', 'rock', 'british soul', 'neo soul', 'alternative r&b', 'experimental hip hop', 'hypnagogic pop', 'art pop', 'metropopolis', 'nz pop', 'pop']"
836 coming around,0.61,0.663,8.5,-7.9255,1.0,0.0509,0.2455,0.0172,0.111,0.425,119.625,"['09kXLeOXRyfNQMXRaDO4qA', '2i9uaNzfUtuApAjEf1omV8', '53KwLdlmrlCelAZMaLVZqU', '4EnymklUyqZwvmHQGlRssl', '7tr9pbgNEKtG0GQTKe08Tz', '2sSGPbdZJkaSE2AbcGOACx', '14Fd3BXAV8ipHmfQoGNIj4', '6styCzc1Ej4NxISL0LiigM', '5mZC7ndY6oGMxJentRwsuV', '3x11XrMEnyP18hv73pmKRL']","['art pop', 'experimental pop', 'uk alternative pop', 'brooklyn indie', 'electropop', 'indie poptimism', 'nyc pop', 'shimmer pop', 'art pop', 'indie soul', 'indietronica', 'uk alternative pop', 'experimental r&b', 'experimental r&b', 'bedroom pop', 'la indie', 'countrygaze', 'new york shoegaze', 'uk post-punk revival', 'abstract hip hop', 'art pop', 'chamber psych', 'scottish hip hop', 'hypnagogic pop']"
835 maybe tomorrow,0.618,0.4475,5.0,-9.011,1.0,0.0407,0.5660000000000001,0.00502,0.0901,0.428,93.097,"['6qqNVTkY8uBg9cP3Jd7DAH', '5VZn4mB8pS40aE0kujdX2Y', '7ig7r3UikvL9qJe7pQvCBn', '2tIP7SsRs7vjIcLrU85W8J', '1Xyo4u8uXC1ZmMpatF05PJ', '25uiPmTg16RbhZWAqwLBy5', '7ltDVBr6mKbRvohxheJ9h1', '5FxD8fkQZ6KcsSYupDVoSO', '1l9d7B8W0IHy3LqWsxP2SH', '2sSGPbdZJkaSE2AbcGOACx']","['art pop', 'pop', 'australian hip hop', 'canadian contemporary r&b', 'canadian pop', 'pop', 'art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop', 'pop', 'r&b en espanol', 'bedroom pop', 'bedroom soul', 'indietronica', 'metropopolis', 'neo-synthpop', 'bedroom pop', 'la indie']"
834 heartbreak,0.642,0.694,7.0,-7.14,1.0,0.0373,0.274,1.18e-05,0.105,0.709,114.831,"['74KM79TiuVKeVCqs8QtB0B', '32vWCbZh0xZ4o9gkz4PsEU', '4Ui2kfOqGujY81UcPrb5KE', '0hEurMDQu99nJRq8pTxO14', '25NQNriVT2YbSW80ILRWJa', '784kOgkd1H6jU4KgPMYHi9', '70kkdajctXSbqSMJbQO424', '4TKTii6gnOnUXQHyuo9JaD', '3eqjTLE0HfPfh78zjh6TqT', '5e4Dhzv426EvQe3aDb64jL']","['pop', 'classic country pop', 'country', 'country dawn', 'indietronica', 'metropopolis', 'neo mellow', 'singer-songwriter', 'contemporary country', 'country', 'country dawn', 'country road', 'alternative americana', 'countrygaze', 'classic texas country', 'contemporary country', 'country dawn', 'lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']"
833 silverlake,0.5645,0.5545,3.5,-8.811,1.0,0.032,0.1375,0.046385,0.133,0.5435000000000001,113.621,"['4WZlZAyyBNVwoG4Zrh1tfC', '1Hs5RG6WIwUSJLxRYWaOW6', '6styCzc1Ej4NxISL0LiigM', '0DWQj8MLymKN8IpUcB2Yh9', '7DkMVaKsRKT5RBtVxMLu2i', '4tK6Z8fK7Sc9133byjPGIT', '6USv9qhCn6zfxlBQIYJ9qs', '3yYUV3hkJit05YIUEODqgp', '1ZgzpPiODfKa4B9Fkw1dWm', '1Z2KInfSmPOzAIYyiaXeti']","['5th wave emo', 'bubblegrunge', 'diy emo', 'indie punk', 'seattle indie', 'uk post-punk revival', 'portuguese indie', 'portuguese rock', 'asheville indie', 'countrygaze', 'slacker rock', 'alternative pop rock', 'pov: indie', 'bubblegrunge', 'chamber pop', 'indie punk', 'indie rock', 'philly indie', 'countrygaze', 'chamber pop', 'chillwave', 'dream pop', 'experimental pop', 'idaho indie', 'indie rock', 'indietronica', 'shimmer pop', 'stomp and holler']"
832 might as well,0.572,0.4625,7.0,-9.822,1.0,0.03715,0.7215,0.00020375,0.1195,0.42600000000000005,96.0535,"['00x1fYSGhdqScXBRpSj3DW', '6qqNVTkY8uBg9cP3Jd7DAH', '1GmsPCcpKgF9OhlNXjOsbS', '60NNvDqsif0u40CXMV6jDQ', '1dy5WNgIKQU6ezkpZs4y8z', '6bR96LMvgvYgDlumR7JwPX', '4wrzxtBZw20ufDstKyTnnP', '5GGJosGMs08YEmKTZJe1fL', '3nMWhKVpR0rMn7WFZ0XQoQ', '4WZlZAyyBNVwoG4Zrh1tfC']","['pop soul', 'art pop', 'pop', 'alt z', 'boston folk', 'indie pop', 'singer-songwriter pop', 'bedroom soul', 'alt z', 'bedroom pop', 'pov: indie', 'indie pop', 'uk pop', 'indie pop']"
831 if it's forever,0.716,0.54,7.0,-8.237,1.0,0.0381,0.495,0.00143,0.131,0.546,115.028,"['6qqNVTkY8uBg9cP3Jd7DAH', '7tr9pbgNEKtG0GQTKe08Tz', '60NNvDqsif0u40CXMV6jDQ', '3mIj9lX2MWuHmhNCA7LSCW', '3IunaFjvNKj98JW89JYv9u', '29Oq9Nv8zLgu3IvX1tIpbm', '00x1fYSGhdqScXBRpSj3DW', '4wrzxtBZw20ufDstKyTnnP', '3l0CmX0FuQjFxr8SK7Vqag', '6mrOjLZyPub9LcecUarcMD']","['art pop', 'pop', 'experimental r&b', 'bedroom soul', 'modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock', 'indie pop', 'indietronica', 'modern dream pop', 'pov: indie', 'vapor soul', 'bedroom pop', 'pop soul', 'indie pop', 'uk pop', 'bedroom pop', 'indie pop', 'pov: indie', 'bubblegrunge', 'small room']"
830 if i let you go,0.676,0.5675,2.0,-7.604,1.0,0.02945,0.1105,0.0345,0.09445,0.4415,116.0665,"['5lSc6BIpfTBIcco5gQOEWH', '6styCzc1Ej4NxISL0LiigM', '09kXLeOXRyfNQMXRaDO4qA', '3diDUq8QMCCtx8a4Jy42aO', '4pdoRs7yHNXakMobf8M9Oz', '6Lt6KFXX3P0v6vfrynQAMo', '3btzEQD6sugImIHPMRgkwV', '0kUsW40KML1SWGeOAvGtzD', '17mwzDXKn4ra9cuxXaptwp', '6CWTBjOJK75cTE8Xv8u1kj']","['uk post-punk revival', 'art pop', 'experimental pop', 'uk alternative pop', 'bedroom pop', 'la pop', 'art pop', 'devon indie', 'solo wave', 'trip hop', 'indie rock', 'modern alternative rock', 'modern rock', 'art pop', 'art pop', 'canadian indie', 'canadian pop', 'chamber pop', 'indie pop', 'indie rock']"
829 crush,0.6785000000000001,0.7424999999999999,8.0,-7.0855,1.0,0.0431,0.0453,0.05935,0.214,0.775,111.999,"['6qqNVTkY8uBg9cP3Jd7DAH', '2sSGPbdZJkaSE2AbcGOACx', '1gR0gsQYfi6joyO1dlp76N', '57vWImR43h4CaDao012Ofp', '4wrzxtBZw20ufDstKyTnnP', '1oPRcJUkloHaRLYx0olBLJ', '59oA5WbbQvomJz2BuRG071', '6LEeAFiJF8OuPx747e1wxR', '09kXLeOXRyfNQMXRaDO4qA', '6O4EGCCb6DoIiR6B1QCQgp']","['art pop', 'pop', 'bedroom pop', 'la indie', 'alternative dance', 'dance-punk', 'electronica', 'filter house', 'indietronica', 'new rave', 'afrofuturism', 'indie pop', 'uk pop', 'la pop', 'indie soul', 'uk contemporary r&b', 'alternative r&b', 'art pop', 'escape room', 'indie soul', 'indietronica', 'metropopolis', 'art pop', 'experimental pop', 'uk alternative pop', 'chillwave', 'hypnagogic pop', 'indie soul', 'indietronica']"
